wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
07017-1219,GAL 288,,1902,2015,7,319,314,9.2,8.7,10.49,12.00,,-8,3,-13,-4,,070139.83-121816.9
07537-2155,ARA 1411,"AB,C",1920,1999,7,180,182,8.4,8.7,8.62,9.97,A0V,-7,8,-9,0,,075344.73-215515.9
08119-4614,WFC 64,AB,1901,2015,9,65,67,8.4,8.7,10.33,10.65,,-10,8,0,6,W,081156.20-461402.9
11552-5012,CPO 337,"AB,C",1900,2001,7,62,66,9.1,8.7,9.19,11.60,F5IV/V,-15,0,-18,4,,115513.26-501209.1
14180-3351,HJ 4668,,1835,2015,10,274,278,4.0,8.7,10.34,11.80,K0,8,-21,4,-26,,141759.31-335126.1
15072-4142,CBL 157,,1899,2015,7,293,287,9.0,8.7,9.40,9.50,F3/5V,-41,-30,-54,-19,V,150712.83-414131.1
06246+2407,POU1308,,1925,2015,7,196,195,8.9,8.8,10.28,12.90,,-3,-2,,,,062434.62+240651.8
09338+2621,HJ 467,,1827,2015,14,315,277,15.0,8.8,10.00,11.00,,-5,-13,,,,093347.51+262127.3
13463-6158,TRR 10,,1894,2015,6,27,25,9.3,8.8,9.77,11.80,B5V:n:,-4,-2,-9,-5,,134619.87-615801.7
07235+0419,BAL2759,,1910,2015,8,338,340,8.7,8.9,11.00,11.50,,-6,-9,-8,-5,,072328.67+041925.1
07599+2840,SMA 73,,1901,2015,9,32,32,9.6,8.9,10.80,11.20,,5,-7,10,-13,,075953.07+283904.7
08025-5427,CPO 187,,1892,2015,7,20,14,8.7,8.9,10.10,11.60,A0V,-10,3,-17,14,,080231.46-542635.9
10006-5938,LPO 26,,1894,2015,9,300,302,9.0,8.9,8.93,10.73,B3III,2,7,-2,10,,100034.51-593806.6
10447-5921,HJ 4364,AC,1893,2015,9,151,149,9.4,8.9,8.41,10.20,O,-9,2,,,,104443.87-592125.1
06233-2827,WFC 34,,1909,2015,8,244,244,9.6,9.0,10.50,10.78,F6+F6,-3,9,-2,9,NV,062318.85-282729.3
08241-4020,WG 94,AB,1899,2015,9,288,286,9.3,9.0,10.64,10.80,,-10,15,-11,14,W,082405.14-402037.5
08283+7308,SKF 177,,1900,2015,12,304,305,9.1,9.0,10.30,12.90,,-21,-42,-24,-34,V,082817.52+730811.4
10227-0956,AHD 11,,1893,2015,10,199,203,8.9,9.0,10.30,13.00,,-1,-45,-2,-42,V,102244.90-095539.8
10409-5811,TDS7411,,1924,2015,9,102,104,8.5,9.0,10.51,12.22,A2,-7,3,-7,0,,104051.51-581050.7
12148-6102,R 196,,1880,2015,6,277,280,9.0,9.0,10.90,11.90,,-12,-15,-24,0,,121448.81-610152.0
13167-5950,HJ 4577,AD,1874,2015,6,180,141,12.0,9.0,10.10,10.70,B9.5V:,-10,-6,,,,131642.11-594926.1
15491-8403,TVB 281,,1895,2015,6,123,117,8.6,9.0,11.00,11.50,,8,13,8,11,T,154908.43-840317.2
06243-2801,COO 36,"AB,C",1879,1999,13,243,241,9.4,9.1,8.51,9.29,,-14,27,-26,8,,062421.05-280125.4
06518+0028,HJ 740,BC,1880,2015,12,284,286,8.2,9.1,9.13,11.80,A0p,-3,-5,-2,-6,,065146.38+002756.6
11288-5856,DAM 555,,1895,2015,6,105,109,8.9,9.1,10.60,12.20,,-11,0,-10,-6,,112850.51-585624.9
06371+0312,BAL2181,,1910,2015,14,341,340,9.2,9.2,9.39,10.36,B5,-2,-1,-4,-2,,063706.89+031210.8
07157-0758,HJ 2368,,1831,2015,10,262,258,4.0,9.2,10.79,12.80,,-4,0,-4,-1,,071541.96-075714.6
07459+2000,HJ 2414,,1831,2015,12,244,239,5.0,9.2,10.50,10.50,,-19,3,-21,3,,074551.40+200046.4
08123-2221,ARA 1725,,1920,2015,6,285,284,8.8,9.2,10.81,12.00,,-6,0,-7,1,,081213.46-222109.2
08464-3526,WFC 75,,1911,2015,8,38,37,9.2,9.2,10.32,10.97,,-11,9,-10,10,T,084626.60-352613.9
10157-3317,HJ 4300,AB,1835,2015,16,106,108,7.5,9.2,9.50,10.16,F3V+F3V,-37,7,-36,7,NVW,101541.02-331646.4
11527+6100,STI 735,,1907,2015,11,28,31,9.9,9.2,10.58,11.65,,-12,18,-11,19,T,115239.38+605934.7
12500-6521,HRG 79,,1883,2015,5,346,356,8.8,9.2,10.70,10.80,,-36,11,-10,-1,R,124957.95-652105.8
15071-4903,SKF 971,,1904,2015,6,213,214,9.0,9.2,10.80,11.00,A2+KIII,-14,-2,-14,-4,,150706.12-490247.1
07452+0726,AHD 38,,1903,2015,14,221,224,8.7,9.3,11.00,12.00,G5V+K1V,4,-17,-1,-18,V,074512.92+072618.8
09330-2348,B 2690,,1922,2015,6,271,273,7.4,9.3,8.44,11.40,A3/4V,-11,1,-21,-3,,093259.08-234809.9
12211+0323,BAL2387,,1910,2015,10,190,207,9.9,9.3,10.50,12.60,,-11,-3,-47,10,,122103.38+032335.4
06253+4931,HJ 2314,,1831,2015,9,346,353,10.0,9.4,11.00,11.00,,2,-1,4,0,,062521.27+493139.8
07460+2419,POU2888,,1899,2015,8,214,210,9.7,9.4,10.50,12.50,,-11,-9,-27,2,,074600.47+241855.8
09260-4359,I 1186,AC,1900,2015,9,201,199,10.1,9.4,9.96,10.54,F5,-18,9,-18,7,,092559.39-435859.2
09287-5548,R 121,AB,1893,2015,7,318,304,11.2,9.4,10.90,12.30,,-13,42,-15,16,,092841.79-554802.8
09494-5842,HJ 4255,,1834,2015,7,80,79,6.0,9.4,10.50,10.70,K5,-16,1,-8,1,,094923.05-584217.7
09561+2906,STF1392,,1830,2015,19,180,176,9.4,9.4,9.93,12.60,G5,-17,1,-14,-9,,095603.71+290554.8
10347-3524,HJ 4334,,1834,2015,12,268,266,5.0,9.4,10.32,11.02,F3V+F3V,5,-11,6,-11,NV,103442.83-352420.0
10428-6012,JSP 422,AD,1892,2015,8,124,128,10.1,9.4,9.71,11.60,B,-8,0,,,,104245.52-601201.3
11031-5823,LPO 31,,1895,2015,7,200,207,9.8,9.4,8.96,11.60,A0V,-8,12,-21,9,,110311.45-582325.5
12280-6819,DON 527,"AB,CD",1896,2015,7,97,98,9.2,9.4,10.85,11.31,,-33,-1,-17,-3,,122801.13-681938.7
06026+5613,STI2121,,1911,2015,12,129,132,9.1,9.5,11.00,11.20,,2,-53,1,-55,,060232.41+561344.8
06583+2422,POU2176,,1905,2015,8,157,171,10.1,9.5,10.70,12.80,,3,-7,8,-8,,065819.21+242201.1
09259-4701,WFC 85,AB,1900,2015,9,227,226,9.9,9.5,10.18,10.73,,-12,8,-10,7,VW,092554.33-470116.7
07156+0142,BAL1395,,1909,2015,10,108,110,9.7,9.6,10.95,11.60,,-2,-1,-3,-3,,071536.36+014155.7
08383-2231,ARA 1746,,1920,2015,11,98,100,10.1,9.6,10.31,12.25,G,7,-10,25,-11,,083815.24-223122.0
08441+1357,HEI 145,"A,BC",1897,2015,13,129,132,9.2,9.6,10.77,10.90,,-7,-6,-5,-12,,084403.92+135712.0
14347-7538,HJ 4680,,1835,2015,9,0,18,8.0,9.6,9.80,11.70,A,-25,-24,-10,-1,,143441.57-753733.9
06252-3929,WG 53,,1904,2015,7,208,207,10.1,9.7,10.60,11.00,,1,26,-3,19,,062510.89-392925.8
06574-0203,BAL 369,,1897,2015,8,258,261,9.8,9.7,11.00,11.50,,3,1,2,4,,065726.09-020231.8
07012+2408,POU2266,,1908,2015,7,96,97,10.5,9.7,10.00,12.90,,-2,-10,4,-13,,070111.80+240730.9
07196-2401,ARA 2043,AB,1911,2015,10,288,290,11.3,9.7,9.65,10.22,B2Vn,-3,2,-5,5,,071937.49-240127.8
07443-2353,ARA 2066,,1911,2015,8,316,317,10.4,9.7,8.33,11.28,K2/3III:,-3,5,-4,3,,074418.45-235323.7
09080-6832,HDS1327,,1893,2015,8,113,118,9.6,9.7,9.08,11.58,F0V,-18,29,-22,25,,090800.98-683138.8
09299-3737,TDS6603,,1913,2015,8,186,191,9.8,9.7,10.53,12.40,,-8,3,-10,4,V,092952.22-373701.1
09313-7803,HJ 4230,AB,1827,2015,7,328,341,10.0,9.7,9.73,11.20,K4,-14,9,-7,18,,093113.07-780238.4
10039+0150,HJ 3320,,1832,2015,11,154,153,10.0,9.7,11.00,11.50,,7,-21,2,-5,N,100352.82+014952.4
14480-6618,JRN 15,AC,1892,2015,6,130,131,8.8,9.7,9.30,12.00,B8/9V,-5,-1,-6,-7,,144800.73-661742.7
06564-3035,TDS4308,,1913,2015,8,301,300,10.4,9.8,10.58,10.78,G0V+G0V,-10,12,-11,14,NV,065621.05-303451.6
12299-3447,SEE 155,,1897,2015,8,119,125,10.2,9.8,10.71,13.70,,-14,15,-18,5,,122956.94-344723.6
06052-6551,MLO 20,"A,BC",1893,2015,9,204,207,10.9,9.9,9.43,11.30,K0III+A6V,6,16,-1,23,,060509.59-655052.3
06234-2235,LDS 160,,1920,2015,10,315,323,10.0,9.9,10.92,13.21,,-176,-155,-176,-155,NV,062321.95-223528.8
07188-2824,HJ 2375,,1831,2015,6,169,171,4.0,9.9,10.54,12.60,,1,0,1,-1,,071849.23-282353.2
08021-3250,TDS5465,,1914,2015,6,37,37,10.1,9.9,10.65,11.72,,-1,3,-1,4,,080207.50-324941.2
09484-4518,TDS6825,,1900,2015,8,260,266,10.8,9.9,10.78,12.54,,-6,1,-4,4,,094823.87-451810.4
06102+0401,BAL2653,,1910,2015,8,262,255,11.0,10.0,10.92,12.70,,2,-2,4,-10,,061013.11+040028.3
10030-5329,GRV1254,,1924,2015,5,179,179,9.3,10.0,9.90,11.20,,13,-2,10,-3,NT,100301.51-532859.5
10161+0559,HO 45,,1884,2015,17,145,145,9.6,10.0,10.90,11.90,,-17,-25,-14,-21,R,101605.99+055840.3
11517-6352,HRG 73,,1883,2015,8,240,248,10.6,10.0,10.10,10.60,K0,-9,-9,-15,-11,,115143.52-635218.4
