wds_id,discov#,comp,first,last,obs,pa_first,pa_last,sep_first,sep_last,mag1,mag2,spectr,pm1_ra,pm1_dec,pm2_ra,pm2_dec,notes,coord_arcsec_2000
06105+2425,POU1102,AB,1905,2015,8,209,198,5.5,5.7,10.74,12.70,,-3,-2,,,,061033.87+242428.4
07412+0108,AG 143,,1903,2015,20,98,98,5.5,5.7,9.10,10.10,G5,-7,3,-5,1,,074110.49+010818.1
08401-2114,BHA 10,,1917,2015,6,175,163,5.0,5.7,10.37,12.20,,-17,25,-5,4,,084002.83-211437.8
10395-6505,HJ 4343,AB,1835,2015,13,99,99,3.0,5.7,9.38,10.12,F6/7IV/V,-15,13,-19,11,W,103930.69-650459.9
11325-2046,DON1094,,1918,2015,10,60,61,6.1,5.7,10.91,11.24,F5V,-9,-2,-10,-1,T,113231.98-204608.2
12177-5719,BRT2807,AB,1894,2015,7,343,335,3.9,5.7,11.00,11.90,,4,42,-38,63,R,121751.48-571925.3
13489-6719,MLO 53,,1895,2015,6,285,289,6.7,5.7,9.83,12.70,B9V,3,-6,0,-4,,134900.02-671842.2
14006-2654,B 261,,1913,2015,8,345,344,6.0,5.7,10.09,12.10,F6V,-27,-26,,,,140035.05-265348.8
15289-3747,SWR 174,,1913,2015,6,256,256,5.9,5.7,10.41,11.10,G8V+G8V,-65,-14,-77,-39,NV,152853.86-374724.0
08055-6952,HJ 4055,,1835,2015,22,186,191,6.0,5.8,8.65,8.65,K5IIIx2,1,-7,-3,-28,NV,080530.48-695149.4
10381+4453,ES 2633,,1912,2015,8,271,269,7.5,5.8,10.75,13.00,,-7,-3,-20,-4,,103805.28+445301.3
15022-4727,CPO 409,,1902,2015,8,121,113,5.2,5.8,9.80,11.30,F3/5V,-41,5,,,,150209.60-472658.2
15176-5537,COO 184,,1871,2015,9,141,141,6.1,5.8,8.92,9.62,B6/7Vn,-26,20,,,,151734.18-553705.7
06391+4220,MLB 63,,1894,2015,11,262,260,6.5,5.9,10.62,11.20,,-5,-15,-6,-15,,063907.99+421946.0
07599-2302,DON 217,,1922,2015,12,28,31,5.3,5.9,10.30,10.95,F8,-5,0,-4,0,V,075954.17-230143.7
08227-4812,SEE 99,AB,1897,2015,9,114,113,5.6,5.9,9.02,11.00,A0,-36,14,,,W,082242.16-481151.2
09280-5834,FIN 400,,1893,2015,6,226,211,6.0,5.9,9.09,12.08,B9V,-10,11,-13,8,,092757.97-583405.7
10201+4743,ES 915,AB,1910,2015,11,167,172,5.8,5.9,10.50,12.50,,-5,-1,,,,102008.14+474304.1
14533-5220,CPO 403,,1903,2015,9,140,140,5.8,5.9,9.95,10.80,G5,-18,19,,,N,145318.10-522005.4
15358-5044,CPO 432,,1903,2015,8,178,173,6.1,5.9,10.24,10.90,G0,13,-15,,,,153550.72-504425.7
11192-4434,CPO 323,AB,1902,2015,6,238,265,4.4,6.0,10.41,12.70,G,9,-13,,,W,111909.93-443429.5
12599-4856,CPO 357,,1900,2015,7,129,81,6.3,6.0,10.20,12.10,G5,-57,-50,,,,125954.22-485618.7
14321-4606,HU 1508,AB,1901,2015,8,314,314,4.6,6.0,8.64,11.60,A8/9V,-7,-34,,,,143204.24-460559.6
06477+0827,J 2438,,1902,2015,12,151,152,6.1,6.1,10.98,12.34,,6,-12,3,-12,N B,064734.65+082818.2
06557-1017,GAL 277,,1904,2015,11,145,147,5.7,6.1,10.12,11.10,,-7,7,-3,4,,065538.97-101621.0
